"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01114","CONFORT","01200","CONFORT",,"46.153624,5.8358432","46.153624","5.8358432"
"01115","CONFRANCON","01310","CONFRANCON",,"46.27318605,5.060023449999999","46.27318605","5.060023449999999"
"01116","CONTREVOZ","01300","CONTREVOZ",,"45.79714105,5.61639495","45.79714105","5.61639495"
"01117","CONZIEU","01300","CONZIEU",,"45.72461785,5.601971799999999","45.72461785","5.601971799999999"
"01118","CORBONOD","01420","CORBONOD",,"45.9667713,5.79020795","45.9667713","5.79020795"
"01121","CORLIER","01110","CORLIER",,"46.03688855,5.500267900000001","46.03688855","5.500267900000001"
"01123","CORMORANCHE SUR SAONE","01290","CORMORANCHE SUR SAONE",,"46.2458619,4.830493000000001","46.2458619","4.830493000000001"
"01124","CORMOZ","01560","CORMOZ",,"46.4375436,5.22088915","46.4375436","5.22088915"
"01125","CORVEISSIAT","01250","CORVEISSIAT",,"46.25140115,5.4770661","46.25140115","5.4770661"
"01127","COURMANGOUX","01370","COURMANGOUX",,"46.32429745,5.35845185","46.32429745","5.35845185"
"01128","COURTES","01560","COURTES",,"46.45641675,5.1128368","46.45641675","5.1128368"
"01129","CRANS","01320","CRANS",,"45.966693,5.1916849","45.966693","5.1916849"
"01130","BRESSE VALLONS","01340","BRESSE VALLONS","CRAS SUR REYSSOUZE","46.3270665,5.1821848500000005","46.3270665","5.1821848500000005"
"01130","BRESSE VALLONS","01340","BRESSE VALLONS","ETREZ","46.3270665,5.1821848500000005","46.3270665","5.1821848500000005"
"01133","CRESSIN ROCHEFORT","01350","CRESSIN ROCHEFORT",,"45.783268199999995,5.7649971","45.783268199999995","5.7649971"
"01134","CROTTET","01290","CROTTET",,"46.2848167,4.8760226499999995","46.2848167","4.8760226499999995"
"01134","CROTTET","01750","CROTTET",,"46.2848167,4.8760226499999995","46.2848167","4.8760226499999995"
"01135","CROZET","01170","CROZET",,"46.29061885,5.9928761999999995","46.29061885","5.9928761999999995"
"01136","CRUZILLES LES MEPILLAT","01290","CRUZILLES LES MEPILLAT",,"46.22325105,4.8760296","46.22325105","4.8760296"
